id_investimento,tipo,valor_aplicado,lucro_gerado,id_cliente,id_funcionario,data_aplicacao
1,Renda Fixa,5000.0,450.0,1,1,2024-01-20
2,Ações,8000.0,1200.0,2,2,2024-02-25
3,Fundos Imobiliários,3000.0,270.0,3,3,2024-03-10
4,Ações,7000.0,950.0,4,1,2024-03-22
5,Renda Fixa,10000.0,900.0,5,4,2024-04-15
6,Criptoativos,6000.0,1500.0,6,5,2024-05-03
7,Fundos Imobiliários,2000.0,200.0,7,6,2024-05-29
8,Ações,7500.0,1000.0,8,2,2024-06-18
9,Renda Fixa,5000.0,450.0,9,7,2024-07-10
10,Criptoativos,10000.0,2500.0,10,8,2024-08-25
11,Fundos Imobiliários,4500.0,500.0,11,9,2024-09-06
12,Ações,8000.0,1100.0,12,10,2024-09-20
13,Renda Fixa,3000.0,270.0,13,3,2024-10-08
14,Ações,7000.0,890.0,14,4,2024-10-30
15,Criptoativos,9000.0,2100.0,15,5,2024-11-13
16,Renda Fixa,4000.0,360.0,16,6,2024-12-01
17,Fundos Imobiliários,5500.0,600.0,17,7,2024-12-06
18,Ações,9000.0,1150.0,18,8,2024-12-12
19,Criptoativos,12000.0,2900.0,19,9,2024-12-18
20,Renda Fixa,6000.0,500.0,20,10,2024-12-22
21,Renda Fixa,7000.0,630.0,21,1,2024-01-12
22,Ações,8500.0,980.0,22,2,2024-02-18
23,Criptoativos,9500.0,2200.0,23,3,2024-03-25
24,Fundos Imobiliários,4000.0,420.0,24,4,2024-04-06
25,Renda Fixa,3000.0,250.0,25,5,2024-05-12
26,Ações,10000.0,1300.0,26,6,2024-06-22
27,Criptoativos,11000.0,2700.0,27,7,2024-07-07
28,Fundos Imobiliários,6000.0,660.0,28,8,2024-08-15
29,Renda Fixa,8000.0,700.0,29,9,2024-09-30
30,Ações,9000.0,1050.0,30,10,2024-10-28
